Tarih;Ana Depo;Depo;GLN;Kontak Adı;Kontak Brick;Ürün;Form;Satış Adet;Satış MF;Toplam Satış;Toplam Tutar;MF Tutar;İade
1.01.2026;ALLIANCE HEALTHCARE;AH ERZURUM;8,68E+12;ÖRTÜLÜ ECZANESİ;ERZURUM KUZEY ILCELER;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;2;0;2;196;0;0
1.01.2026;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8,68E+12;HAYAT ECZANESİ;TRABZON K.BASI+SURMENE;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11;981;98;0
1.01.2026;İSTANBUL ECZA KOOP;İSKOOP MERKEZ;8,68E+12;SAĞLIK ECZANESİ;AMASYA MERKEZ -1;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11;981;98;0
1.01.2026;ALLIANCE HEALTHCARE;AH SAMSUN;8,68E+12;ABALI ECZANESİ;CORUM MERKEZ -2;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;2;0;2;196;0;0
1.01.2026;ALLIANCE HEALTHCARE;AH TRABZON;8,68E+12;GİRİFTİNOĞLU ECZANESİ;GUMUSHANE;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;2;0;2;196;0;0
1.01.2026;İSTANBUL ECZA KOOP;İSKOOP MERKEZ;8,68E+12;MERVE ECZANESİ;SINOP DOGU-BATI ILCELER;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;2;0;2;196;0;0
1.01.2026;İSTANBUL ECZA KOOP;İSKOOP MERKEZ;8,68E+12;YÜKSEL ECZANESİ;SINOP DOGU-BATI ILCELER;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;5;0;5;490;0;0
1.01.2026;İSTANBUL ECZA KOOP;İSKOOP MERKEZ;8,68E+12;TAFLAN ECZANESİ;SAMSUN ATAKENT+19 MAYIS;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11;981;98;0
1.01.2026;NEVZAT ECZA DEPOSU;NEVZAT SAMSUN;8,68E+12;TUĞLUOĞLU ECZANESİ;TOKAT BATI ILCELER;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;5;0;5;490;0;0
1.01.2026;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8,68E+12;SARAY ECZANESİ;TOKAT BATI ILCELER;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11;981;98;0
1.01.2026;ALLIANCE HEALTHCARE;AH SAMSUN;8,68E+12;GÜNEŞ ECZANESİ;TOKAT TURHAL;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;3;0;3;294;0;0
1.01.2026;ALLIANCE HEALTHCARE;AH TRABZON;8,68E+12;SAĞLIK ECZANESİ;RIZE DOGU ILCELER;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;20;3;23;1.962;294;0
1.01.2026;ALLIANCE HEALTHCARE;AH TRABZON;8,68E+12;ŞAVŞAT ECZANESİ;ARTVIN MERKEZ+DOGU+GUNEY;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11;981;98;0
1.01.2026;İSTANBUL ECZA KOOP;İSKOOP MERKEZ;8,68E+12;ÖZLÜ ECZANESİ;AMASYA MERKEZ -2;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11;981;98;0
1.01.2026;ALLIANCE HEALTHCARE;AH SAMSUN;8,68E+12;EGE ECZANESİ;TOKAT DOGU ILCELER;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11;981;98;0
1.01.2026;ALLIANCE HEALTHCARE;AH SAMSUN;8,68E+12;YASEMİN ECZANESİ;SINOP MERKEZ;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11;981;98;0
1.01.2026;ALLIANCE HEALTHCARE;AH SAMSUN;8,68E+12;YAMAN ECZANESİ;SAMSUN DOGU ILCELER;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11;981;98;0
1.01.2026;İSTANBUL ECZA KOOP;İSKOOP MERKEZ;8,68E+12;GÖKSEL ECZANESİ;AMASYA MERZIFON;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11;981;98;0
1.01.2026;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8,68E+12;ALEMDAR ECZANESİ;TRABZON MERKEZ -1;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10;1;11;981;98;0
1.01.2026;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8,68E+12;BÜŞRA BULUT ECZANESİ;TOKAT MERKEZ -1;ACİDPASS;Acidpass 10/800/165 mg 6 Çiğneme Tablet;2;0;2;121;0;0
1.01.2026;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8,68E+12;BİZİM ECZANESİ;ARTVIN MERKEZ+DOGU+GUNEY;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;20;4;24;1.465;293;0
1.01.2026;ALLIANCE HEALTHCARE;AH SAMSUN;8,68E+12;KARTAL ECZANESİ;CORUM MERKEZ -3;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;2;0;2;146;0;0
1.01.2026;SELÇUK ECZA DEPOSU;SELÇUK SAMSUN;8,68E+12;ALBAYRAK ECZANESİ;CORUM MERKEZ -1;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;50;20;70;3.662;1.465;0
1.01.2026;ALLIANCE HEALTHCARE;AH TRABZON;8,68E+12;KARACA ECZANESİ;GUMUSHANE;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;10;1;11;732;73;0
1.01.2026;ALLIANCE HEALTHCARE;AH TRABZON;8,68E+12;HAYAT ECZANESİ;GUMUSHANE;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;10;1;11;732;73;0
1.01.2026;İSTANBUL ECZA KOOP;İSKOOP MERKEZ;8,68E+12;MERVE ECZANESİ;SINOP DOGU-BATI ILCELER;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;10;1;11;732;73;0
1.01.2026;İSTANBUL ECZA KOOP;İSKOOP MERKEZ;8,68E+12;YÜKSEL ECZANESİ;SINOP DOGU-BATI ILCELER;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;10;1;11;732;73;0
1.01.2026;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8,68E+12;ANADOLU ECZANESİ;RIZE MERKEZ;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;10;1;11;732;73;0
1.01.2026;ALLIANCE HEALTHCARE;AH TRABZON;8,68E+12;SERKAN ECZANESİ;RIZE MERKEZ;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;10;1;11;732;73;0
1.01.2026;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8,68E+12;ANADOLU ECZANESİ;RIZE MERKEZ;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;20;4;24;1.465;293;0
1.01.2026;SELÇUK ECZA DEPOSU;SELÇUK TRABZON;8,68E+12;YAŞAM ECZANESİ;TRABZON MERKEZ -1;GRİPORT COLD;Griport Cold 20 Film Kaplı Tablet;10;1;11;732;73;0
