BÖLGE;TTT;BRİCK;İLAÇ GRUBU;İLAÇ;TOPLAM;TOPLAM PPI %;1.HAFTA;1.H PPI %;2.HAFTA;2.H PPI %;3.HAFTA;3.H PPI %;4.HAFTA;4.H PPI %;5.HAFTA;5.H PPI %;6.HAFTA;6.H PPI %;7.HAFTA;7.H PPI %;8.HAFTA;8.H PPI %;9.HAFTA;9.H PPI %
SAMSUN;KURSAD KARADAG;AGRI DIYADIN+D.BEYAZIT;PANTAPROZOL PAZARI;PANOCER TOPLAM;672;24,82%;552;25,56%;120;21,94%;;;;;;;;;;;;;;
SAMSUN;KURSAD KARADAG;AGRI DIYADIN+D.BEYAZIT;PANTAPROZOL PAZARI;PANTO;1.076;39,75%;976;45,19%;100;18,28%;;;;;;;;;;;;;;
SAMSUN;KURSAD KARADAG;AGRI DIYADIN+D.BEYAZIT;PANTAPROZOL PAZARI;PANTACTIVE;412;15,22%;342;15,83%;70;12,80%;;;;;;;;;;;;;;
SAMSUN;KURSAD KARADAG;AGRI DIYADIN+D.BEYAZIT;PANTAPROZOL PAZARI;DIGER PANTAPROZOLE;433;16,00%;237;10,97%;196;35,83%;;;;;;;;;;;;;;
SAMSUN;KURSAD KARADAG;AGRI DIYADIN+D.BEYAZIT;PANTAPROZOL PAZARI;PULCET;114;4,21%;53;2,45%;61;11,15%;;;;;;;;;;;;;;
SAMSUN;KURSAD KARADAG;AGRI DIYADIN+D.BEYAZIT;PANTAPROZOL PAZARI; PANTOPRAZOLE PAZARI TOPLAM;2.707;100,00%;2.160;100,00%;547;100,00%;;;;;;;;;;;;;;
SAMSUN;KURSAD KARADAG;AGRI DIYADIN+D.BEYAZIT;ACIDPASS PAZARI;ACIDPASS TOPLAM;21;6,36%;13;6,13%;8;6,78%;;;;;;;;;;;;;;
SAMSUN;KURSAD KARADAG;AGRI DIYADIN+D.BEYAZIT;ACIDPASS PAZARI;TRIGAST;111;33,64%;85;40,09%;26;22,03%;;;;;;;;;;;;;;
SAMSUN;KURSAD KARADAG;AGRI DIYADIN+D.BEYAZIT;ACIDPASS PAZARI;TALCID;65;19,70%;42;19,81%;23;19,49%;;;;;;;;;;;;;;
SAMSUN;KURSAD KARADAG;AGRI DIYADIN+D.BEYAZIT;ACIDPASS PAZARI;RENNIE;131;39,70%;72;33,96%;59;50,00%;;;;;;;;;;;;;;
