;;;;;;;;;;;;;;;;;;;;;
2026;;;OCAK;;;ŞUBAT;;;MART;;;NİSAN;;;MAYIS;;;HAZİRAN;;;
İLAÇ GRUBU;FİRMALAR;ÜRÜNLER;ANAMAL+MF;AKSİYON 14-16 OCAK;CEP MF;ANAMAL+MF;AKSİYON 11-13 ŞUBAT;CEP MF;ANAMAL+MF; - ;CEP MF;ANAMAL+MF;AKSİYON 01-10 NİSAN;CEP MF;ANAMAL+MF;AKSİYON 12-14 MAYIS;CEP MF;ANAMAL+MF;AKSİYON 16-17 HAZİRAN;CEP MF;
GRİPORT COLD PAZARI;İLKO İLAÇ;GRİPORT COLD;10+1 / 20+4;50+20;50+20;10+1 / 20+4;50+20 / 80+40;50+20 / 80+40;10+1 / 20+4; - ;50+20;10+1 / 20+4;50+20;50+20;6+1 / 20+6 / 30+15;;;6+1 / 12+4 / 30+15;60+40;60+40;
GRİPORT COLD PAZARI;HUMANIS;IBUCOLD C 30 FILM TB; - ;;; - ;;; - ;;; - ;;; - ;;; - ;;;
GRİPORT COLD PAZARI;NOBEL;TYLOL HOT DAY 12 TOZ;10+1 / 40+6 / 100+20 / 300+75;;;10+1 / 40+6 / 100+20 / 300+75;;;10+1 / 40+6 / 100+20 / 300+75;;;10+1 / 40+6 / 100+20 / 300+75;;;10+1 / 40+6 / 100+20 / 300+75;;;10+1 / 40+6 / 100+20 / 300+75;;;
GRİPORT COLD PAZARI;BILIM;A-FERIN 30 KAP; - ;;; - ;;; - ;;; - ;;; - ;;; - ;;;
GRİPORT COLD PAZARI;RECKITT BENCKISER;NUROFEN COLD FLU 24 TB;50+5 / 100+20;;;50+5 / 100+20;;;50+5 / 100+20;;;50+5 / 100+20;;;50+5 / 100+20;;;50+5 / 100+20;;;
GRİPORT COLD PAZARI;BILIM;A_FERIN SINUS ;20+2;;;20+2;;; - ;;; - ;;; - ;;;20+2;;;
GRİPORT COLD PAZARI;ABDI IBRAHIM;COLDAWAY C 200MG/30MG 24 TB; - ;;; - ;;; - ;;; - ;;; - ;;; - ;;;
GRİPORT COLD PAZARI;BERKO;IBURAMIN COLD FILMTAB 24;20+1;;;20+1;;;20+1;;;20+1;;;20+1;;;20+1;;;
GRİPORT COLD PAZARI;NOBEL;GRIBEX COLD FLU 200MG 24FTB; - ;;; - ;;; - ;;; - ;;; - ;;; - ;;;
GRİPORT COLD PAZARI;BIOFARMA;KATARIN FILMTAB FORT 20; - ;;; - ;;; - ;;; - ;;; - ;;; - ;;;
