Tarih;Ana Depo;Depo;GLN;Kontak Adı;Kontak Brick;Ürün;Form;Satış Adet;Satış MF;Toplam Satış;Toplam Tutar
01.05.2026;İSTANBUL ECZA KOOP;İSKOOP MERKEZ;8680001622849;ÖZGÜR ECZANESI;SAMSUN VEZIRKOPRU;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;20,0;3,0;23,0;2.244,67
02.05.2026;İSTANBUL ECZA KOOP;İSKOOP MERKEZ;8680001113323;ALTINKAYA ECZANESİ;SAMSUN BAFRA;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;30,0;12,0;42,0;3.159,38
10.05.2026;İSTANBUL ECZA KOOP;İSKOOP MERKEZ;8680001110667;ÜMİT ECZANESİ;SAMSUN ADALET;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;2,0;0,0;2,0;224,47
11.05.2026;İSTANBUL ECZA KOOP;İSKOOP MERKEZ;8680001730612;KUMSAL ECZANESİ;SINOP DOGU-BATI ILCELER;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;30,0;12,0;42,0;3.159,38
14.05.2026;İSTANBUL ECZA KOOP;İSKOOP MERKEZ;8680001545056;EYLÜL ECZANESİ;SAMSUN ATAKUM;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;10,0;1,0;11,0;1.122,33
14.05.2026;İSTANBUL ECZA KOOP;İSKOOP MERKEZ;8680001569748;YENİ HAYAT ECZANESİ;SAMSUN CANIK;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;1,0;0,0;1,0;112,23
08.05.2026;İSTANBUL ECZA KOOP;İSKOOP MERKEZ;8680001143641;ŞİFA ECZANESİ;SAMSUN BAFRA;ACİDPASS;Acidpass 10/800/165 mg 6 Çiğneme Tablet;1,0;0,0;1,0;68,9
12.05.2026;İSTANBUL ECZA KOOP;İSKOOP MERKEZ;8680001109180;ÇINAR ECZANESİ;SAMSUN VEZIRKOPRU;ACİDPASS;Acidpass 10/800/165 mg 6 Çiğneme Tablet;3,0;1,0;4,0;206,69
12.05.2026;İSTANBUL ECZA KOOP;İSKOOP MERKEZ;8680001109180;ÇINAR ECZANESİ;SAMSUN VEZIRKOPRU;ACİDPASS;Acidpass 10/800/165 mg 6 Çiğneme Tablet;17,0;2,0;19,0;1.171,22
15.05.2026;İSTANBUL ECZA KOOP;İSKOOP MERKEZ;8680001130610;BULUT ECZANESİ;SAMSUN ATAKUM;ACİDPASS;Acidpass 10/800/165 mg 12 Çiğneme Tablet;100,0;35,0;135,0;11.223,34
18.05.2026;İSTANBUL ECZA KOOP;İSKOOP MERKEZ;8680001729524;BARIŞ ECZANESİ;TOKAT TURHAL;PANOCER;Panocer 40 mg 28 Enterik Kaplı Tablet;3,0;0,0;3,0;315,94
20.05.2026;İSTANBUL ECZA KOOP;İSKOOP MERKEZ;8680001720156;LAVANTA ECZANESİ;AMASYA MERKEZ -1;ACİDPASS;Acidpass 10/800/165 mg 6 Çiğneme Tablet;1,0;0,0;1,0;68,9
